,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0,0.9875343441963196,0.6859589219093323,0.7858917117118835,0.5417808294296265,0.9228121638298035,0.7077871561050415,0.6868131756782532,0.8423153758049011,0.5796703100204468,0.9335841536521912
1,0.9195988178253174,0.6996575593948364,0.794253945350647,0.5869863033294678,0.9327936172485352,1.5792582035064697,0.37362638115882874,0.3943355083465576,0.24862636625766754,0.729002058506012
2,0.9603836536407471,0.6969178318977356,0.8039867281913757,0.5801370143890381,0.9282634854316711,0.7568317651748657,0.6758241653442383,0.7979999780654907,0.5480769276618958,0.925622284412384
3,0.8921531438827515,0.7236301302909851,0.8047363758087158,0.6167808175086975,0.9385892152786255,0.6624091863632202,0.7156593203544617,0.8252426981925964,0.583791196346283,0.9421194195747375
4,0.8715012669563293,0.7205479741096497,0.8132854700088501,0.6205479502677917,0.9412787556648254,0.6158382892608643,0.7568681240081787,0.8102310299873352,0.6744505763053894,0.9510819315910339
5,0.8480527997016907,0.7373287677764893,0.8215384483337402,0.6400684714317322,0.9424532651901245,0.7678442597389221,0.666208803653717,0.7606111764907837,0.6153846383094788,0.9276987314224243
6,0.8314881324768066,0.7339041233062744,0.8118512034416199,0.642808198928833,0.94512939453125,0.6856756806373596,0.7060439586639404,0.8226414918899536,0.598901093006134,0.9380210041999817
7,0.8574160933494568,0.7294520735740662,0.8158702254295349,0.6373287439346313,0.9422197937965393,1.3490841388702393,0.4107142984867096,0.46286702156066895,0.3681318759918213,0.7962617874145508
8,0.8180839419364929,0.7417808175086975,0.817699134349823,0.6328766942024231,0.9465358853340149,0.7374405860900879,0.6799450516700745,0.7623931765556335,0.6126373410224915,0.9310057759284973
9,0.8424915671348572,0.7397260069847107,0.8162559270858765,0.6465753316879272,0.9467974901199341,0.7027988433837891,0.682692289352417,0.7817531228065491,0.6002747416496277,0.9347373247146606
10,0.7522887587547302,0.7589040994644165,0.8164094090461731,0.6883561611175537,0.9540776014328003,0.5959514379501343,0.7692307829856873,0.8118970990180969,0.6936812996864319,0.9540677070617676
11,0.7786663770675659,0.7523972392082214,0.8249894976615906,0.6715753674507141,0.9523468613624573,0.6401398777961731,0.7541208863258362,0.817863404750824,0.6414835453033447,0.9475157856941223
12,0.734732449054718,0.7647260427474976,0.8399664759635925,0.6866438388824463,0.9577432870864868,0.7033283710479736,0.7307692170143127,0.7743431329727173,0.6881868243217468,0.9393481016159058
13,0.7724827527999878,0.7458904385566711,0.8156797289848328,0.6698629856109619,0.9525449275970459,0.7238027453422546,0.7060439586639404,0.7698675394058228,0.6387362480163574,0.9348008632659912
14,0.7659441232681274,0.7640410661697388,0.8355592489242554,0.6856164336204529,0.9539424777030945,0.8167790174484253,0.656593382358551,0.7011494040489197,0.5865384340286255,0.918275773525238
15,0.7178741693496704,0.7674657702445984,0.8230052590370178,0.6958904266357422,0.9547739028930664,0.6883342266082764,0.708791196346283,0.7842809557914734,0.6442307829856873,0.9413710832595825
16,0.7223540544509888,0.7647260427474976,0.8398323059082031,0.6859589219093323,0.9576889872550964,0.7561798691749573,0.6964285969734192,0.7320573925971985,0.6304945349693298,0.9321563839912415
17,0.6864774227142334,0.7767123579978943,0.8311948776245117,0.709931492805481,0.9591366648674011,0.6402339935302734,0.7252747416496277,0.7949579954147339,0.6497252583503723,0.9469025135040283
18,0.6445208787918091,0.7986301183700562,0.8538922071456909,0.7325342297554016,0.9659320116043091,0.8631876111030579,0.6607142686843872,0.6869009733200073,0.5906593203544617,0.9158332347869873
19,0.6942870020866394,0.7928082346916199,0.8414536714553833,0.7215753197669983,0.9611900448799133,0.6859686970710754,0.723901093006134,0.7728000283241272,0.6634615659713745,0.9403639435768127
20,0.5960291624069214,0.8119863271713257,0.8593081831932068,0.7571917772293091,0.9695938229560852,0.785193920135498,0.6936812996864319,0.7242990732192993,0.6387362480163574,0.9238767027854919
21,0.6113176941871643,0.8089041113853455,0.8578680157661438,0.7523972392082214,0.9689798355102539,0.6427174210548401,0.7486263513565063,0.7866043448448181,0.6936812996864319,0.9482441544532776
22,0.6135297417640686,0.7910959124565125,0.8426966071128845,0.7448630332946777,0.9648090600967407,0.58079594373703,0.776098906993866,0.8132529854774475,0.7417582273483276,0.9570130109786987
23,0.6468473076820374,0.7897260189056396,0.8374902606010437,0.7359589338302612,0.9599870443344116,0.6620615124702454,0.7403846383094788,0.7697160840034485,0.6703296899795532,0.9455859065055847
24,0.5788542628288269,0.8102739453315735,0.8524084687232971,0.7575342655181885,0.9714869260787964,0.68489009141922,0.7032967209815979,0.7788944840431213,0.6387362480163574,0.9395850300788879
25,0.5724199414253235,0.806506872177124,0.8444360494613647,0.7640410661697388,0.9708748459815979,0.8144934773445129,0.6634615659713745,0.7390572428703308,0.6030219793319702,0.9235687255859375
26,0.5528702139854431,0.8280822038650513,0.8675572276115417,0.7784246802330017,0.9741432666778564,0.6522426605224609,0.7554945349693298,0.7901991009712219,0.708791196346283,0.9479665160179138
27,0.5219699144363403,0.834931492805481,0.8685003519058228,0.789383590221405,0.9731442928314209,0.6480509042739868,0.7596153616905212,0.7921092510223389,0.7170329689979553,0.9500243663787842
28,0.5328250527381897,0.8246575593948364,0.861048698425293,0.7873287796974182,0.9729338884353638,0.6623582243919373,0.7678571343421936,0.7902511358261108,0.7348901033401489,0.948150098323822
29,0.5111550092697144,0.835616409778595,0.8695330023765564,0.8034246563911438,0.9758834838867188,0.6299566626548767,0.7431318759918213,0.7772727012634277,0.7046703100204468,0.9509889483451843
30,0.4697369635105133,0.8431506752967834,0.8715867400169373,0.8089041113853455,0.9784374237060547,0.817271888256073,0.6730769276618958,0.7173579335212708,0.6414835453033447,0.9300699234008789
31,0.5552334189414978,0.8342465758323669,0.8717067837715149,0.7818493247032166,0.9747003316879272,0.7372089624404907,0.7129120826721191,0.7555910348892212,0.6497252583503723,0.9352989792823792
32,0.51173335313797,0.835616409778595,0.8714979290962219,0.7989726066589355,0.9769818782806396,0.6156218647956848,0.7939560413360596,0.8173785209655762,0.7623626589775085,0.9545976519584656
33,0.45863476395606995,0.8534246683120728,0.8816611766815186,0.8215753436088562,0.9803786873817444,0.6119721531867981,0.7829670310020447,0.8082596063613892,0.7527472376823425,0.9548453092575073
34,0.4706842005252838,0.8575342297554016,0.884530782699585,0.8263698816299438,0.9794548153877258,1.8405007123947144,0.34478020668029785,0.39042356610298157,0.29120880365371704,0.706969678401947
35,0.46861422061920166,0.84212327003479,0.8726467490196228,0.8095890283584595,0.9765985012054443,0.7207077145576477,0.7170329689979553,0.7613104581832886,0.6703296899795532,0.940379798412323
36,0.5041197538375854,0.8462328910827637,0.875325620174408,0.8054794669151306,0.9789193272590637,0.6633118391036987,0.7802197933197021,0.7985714077949524,0.7678571343421936,0.9534902572631836
37,0.4105308949947357,0.8657534122467041,0.8877995610237122,0.8373287916183472,0.9821067452430725,0.6389191746711731,0.781593382358551,0.8062593340873718,0.7431318759918213,0.9498433470726013
38,0.37887799739837646,0.869178056716919,0.8913830518722534,0.8431506752967834,0.985194206237793,0.6279270648956299,0.7898351550102234,0.8017118573188782,0.7719780206680298,0.9555736780166626
39,0.42437103390693665,0.8647260069847107,0.8858891129493713,0.8428082466125488,0.9834350347518921,0.7979552745819092,0.7019230723381042,0.7581395506858826,0.6717032790184021,0.9274936318397522
